"Z_Raven_self"	"Z_Raven_obj"	"Z_MWTB_self"	"Z_MWTB_obj"	"Z_global_selfeval"	"Z_well_being"	"Z_agency_self"	"Z_comm_self"	"Z_agency_peer"	"Z_comm_peer"
"1"	0.625317874276975	-2.62669537196403	-2.06790805879159	-1.72999685638131	-1.08662714472807	-1.99343973018169	-1.43553037180369	-1.84611002747354	-0.85207505336283	-1.20294664618674
"2"	-0.156329468569244	-2.62669537196403	0.679987785098137	0.444786123586672	-0.728679825374242	-0.33294950669717	0.107127752523902	-0.461406603368108	1.07270569421107	-0.0267889722699068
"3"	-1.71962415426168	-2.62669537196403	0.679987785098137	0.444786123586672	-0.497549357900114	-0.683004268026856	-0.89022572862988	0.271517135459835	-0.565433819848524	-0.195455788414373
"4"	-0.156329468569244	-2.30450196875015	-0.693960136846728	-1.36753302638664	1.33803608113626	1.46449786421568	0.934132873189045	0.219952471073744	0.491988744754911	-0.798522831919731
"5"	-0.937976811415462	-2.30450196875015	-1.38093409781916	-1.00506919639198	0.225419824651705	-0.0501488307121864	0.273110067251314	-0.596222253308319	0.569795998554479	0.357068927015982
"6"	-0.937976811415462	-2.30450196875015	-1.38093409781916	-0.280141536402655	-0.749768953091163	-0.843077740984926	-0.424762946083825	-0.0790152759699464	-1.64137890833826	-1.11621696476896
"7"	-0.937976811415462	-1.98230856553627	-0.00698617587429566	-1.00506919639198	-0.508163551474914	0.475352684869238	-0.130455109840029	-0.41309316280058	-0.120033898140309	-0.0137538003277871
"8"	-0.156329468569244	-1.98230856553627	-0.693960136846728	1.53217761357066	-0.647718949187424	0.0598102064033087	-0.140795785988068	-0.706132190350124	-1.05515792676472	-0.523357044547014
"9"	-0.156329468569244	-1.98230856553627	-0.00698617587429566	-1.00506919639198	1.51509806156181	0.433126464765488	0.856715346806168	-0.467184077174362	0.464522095751747	0.0265254076960614
"10"	-3.28291883995412	-1.98230856553627	-2.06790805879159	-1.00506919639198	0.364549876350904	0.712942715756453	-0.0116636786580635	-0.1727162682353	0.621044898723015	1.7590108964096
"11"	-0.937976811415462	-1.98230856553627	-0.693960136846728	-2.09246068637597	0.402904773282028	0.191869481541959	-0.493450931544643	1.07132007929016	-0.631448922205199	-0.660464148229975
"12"	0.625317874276975	-1.98230856553627	0.679987785098137	0.444786123586672	-0.171731894755593	-0.0565835607566735	-0.374661536763939	-1.01823209871231	0.0863635994758882	-0.890238301399525
"14"	-0.937976811415462	-1.66011516232238	-1.38093409781916	-1.36753302638664	-0.310863135359063	-0.689104589958417	-1.00255022869169	-0.0144942095367684	-0.693376944015554	0.0298034185473491
