"Z_Raven_self"	"Z_Raven_obj"	"Z_MWTB_self"	"Z_MWTB_obj"	"Z_global_selfeval"	"Z_well_being"	"Z_agency_self"	"Z_comm_self"	"Z_agency_peer"	"Z_comm_peer"	"Z_achievement"
"1"	-0.592981202418536	0.684680953977741	-0.403307235905058	2.47081426924474	0.730114906706395	-0.650474731723021	-1.00729271814881	0.733918738782917	-0.352671291155472	0.252064759710079	-0.512072963944917
"2"	-0.592981202418536	-0.521240984318538	-0.403307235905058	1.40520242800649	-1.31793609123218	-0.88473135336876	-1.69867723048059	1.54024850691272	-0.586830804881389	0.468406917005309	0.276111382214953
"3"	0.827052729689011	-0.521240984318538	-1.05868149425078	-2.85724493694652	-0.664785561952142	2.12752325295014	0.159856432769812	1.92023335618165	-0.590243098691317	-0.754928324352055	0.322742422231199
"5"	0.827052729689011	-0.119267004886445	0.252067022440662	-0.726021254470016	1.02590381084584	-0.363595645361253	0.311619667659241	1.49037669773478	-1.0097925698994	-0.559879236632168	-0.112104298052369
"6"	0.117035763635238	-1.72716292261482	-0.403307235905058	-0.193215333850891	1.02172075821117	0.508035186542554	-0.424838088618525	1.36385835433226	-0.0681821517292744	-0.550725267401429	-0.240625334960538
"10"	0.117035763635238	0.282706974545648	0.907441280786382	-1.25882717508914	0.759236157768942	0.724790500184013	0.150590297754412	1.18310275858443	0.510858275047663	0.747745616508965	1.1401187812118
"11"	0.117035763635238	-1.72716292261482	0.907441280786382	-0.193215333850891	0.884233263889798	0.857035114954854	1.05342605775976	1.64256462194635	-0.508728367786224	0.783895895693941	0.0717672924698016
"12"	1.53706969574278	-1.72716292261482	1.5628155391321	1.93800834862561	-2.74510446659409	-3.48682714014578	-0.521363934658976	0.943460895052392	-1.90164843012822	-2.02822368721879	0.0167222850513165
"15"	-0.592981202418536	1.08665493340983	-0.403307235905058	-0.193215333850891	0.607455798284203	0.481197680246962	-0.178913564819755	0.611200784563114	-0.820367536760524	0.72519679339485	-0.869113736136994
"17"	0.117035763635238	-0.923214963750632	-0.403307235905058	-0.193215333850891	0.679328999955011	-0.545921817050638	1.53943585392815	0.687936123195881	-0.291082419593731	-0.983416522691892	-0.249344848558293
